Population,Median Household Income,Per Capita Income,Average Rent,Zipcode,City,State
47690.0,67556.0,30520.0,886.0,01844,METHUEN,MA
28677.0,96002.0,46788.0,1167.0,01845,NORTH ANDOVER,MA
15496.0,51538.0,22503.0,863.0,01850,LOWELL,MA
29791.0,51630.0,22714.0,912.0,01851,LOWELL,MA
33106.0,48951.0,26878.0,877.0,01852,LOWELL,MA
29073.0,42947.0,19646.0,838.0,01854,LOWELL,MA
6440.0,79423.0,36605.0,908.0,01860,MERRIMAC,MA
10992.0,85497.0,30074.0,1117.0,01862,NORTH BILLERICA,MA
9526.0,81160.0,37573.0,1013.0,01863,NORTH CHELMSFORD,MA
15076.0,110852.0,45031.0,1296.0,01864,NORTH READING,MA
24524.0,105524.0,47036.0,1104.0,01867,READING,MA
28778.0,90897.0,39980.0,1264.0,01876,TEWKSBURY,MA
11675.0,90987.0,40920.0,938.0,01879,TYNGSBORO,MA
25116.0,84556.0,40379.0,1042.0,01880,WAKEFIELD,MA
22458.0,124464.0,49341.0,1302.0,01886,WESTFORD,MA
22656.0,99508.0,37424.0,1390.0,01887,WILMINGTON,MA
21621.0,131000.0,64385.0,1307.0,01890,WINCHESTER,MA
2023.0,23467.0,20625.0,535.0,01901,LYNN,MA
44827.0,37275.0,20391.0,839.0,01902,LYNN,MA
18803.0,80903.0,33409.0,1035.0,01904,LYNN,MA
25090.0,42490.0,19934.0,896.0,01905,LYNN,MA
27051.0,76339.0,34350.0,979.0,01906,SAUGUS,MA
14086.0,92399.0,48336.0,1158.0,01907,SWAMPSCOTT,MA
3432.0,66964.0,45464.0,1089.0,01908,NAHANT,MA
16429.0,78486.0,38659.0,894.0,01913,AMESBURY,MA
40026.0,70563.0,37554.0,969.0,01915,BEVERLY,MA
8040.0,125833.0,58734.0,646.0,01921,BOXFORD,MA
3025.0,109301.0,40983.0,815.0,01922,BYFIELD,MA
26810.0,79478.0,38281.0,1188.0,01923,DANVERS,MA
3546.0,74211.0,42259.0,1099.0,01929,ESSEX,MA
29043.0,61449.0,35928.0,856.0,01930,GLOUCESTER,MA
89.0,,29602.0,,01937,HATHORNE,MA
13354.0,77087.0,43021.0,943.0,01938,IPSWICH,MA
12299.0,106239.0,46227.0,1194.0,01940,LYNNFIELD,MA
5185.0,115650.0,70075.0,1105.0,01944,MANCHESTER,MA
19958.0,98399.0,58082.0,1099.0,01945,MARBLEHEAD,MA
