Type	D	M	Y	Season	Winning League	Winning Team	Losing League	Losing Team	Winner Score	Loser Score	OT	Country	City	Attend.
Regular Season	3	2	2007	(2006-07)	NBA	Miami Heat	NBA	Milwaukee Bucks	117	98				
Regular Season	3	2	2007	(2006-07)	NBA	New Orleans Pelicans	NBA	Houston Rockets	87	74				
Regular Season	3	2	2007	(2006-07)	NBA	New York Knicks	NBA	Orlando Magic	94	86				
Regular Season	3	2	2007	(2006-07)	NBA	Sacramento Kings	NBA	Denver Nuggets (2)	94	87				
Regular Season	3	2	2007	(2006-07)	NBA	Utah Jazz	NBA	Phoenix Suns	108	105				
Regular Season	4	2	2007	(2006-07)	NBA	Atlanta Hawks	NBA	Brooklyn Nets	101	99	#			
Regular Season	4	2	2007	(2006-07)	NBA	Detroit Pistons	NBA	Cleveland Cavaliers	90	78				
Regular Season	4	2	2007	(2006-07)	NBA	Toronto Raptors	NBA	Los Angeles Clippers	122	110				
Regular Season	5	2	2007	(2006-07)	NBA	Golden State Warriors	NBA	Indiana Pacers	113	98				
Regular Season	5	2	2007	(2006-07)	NBA	Houston Rockets	NBA	Minnesota Timberwolves	105	77				
Regular Season	5	2	2007	(2006-07)	NBA	Los Angeles Lakers	NBA	Atlanta Hawks	90	83				
Regular Season	5	2	2007	(2006-07)	NBA	Miami Heat	NBA	Charlotte Hornets	113	93				
Regular Season	5	2	2007	(2006-07)	NBA	Philadelphia 76ers	NBA	Brooklyn Nets	100	98	#			
Regular Season	5	2	2007	(2006-07)	NBA	Phoenix Suns	NBA	Denver Nuggets (2)	113	108		USA	Denver	
